total_x,total_y
오늘 회의합시다.,1
인공지능 모델 자체 관리하고싶어서,1
일단 프론트를 구하는게 맞는것 같음,1
팀원구하기시작했어,1
우선 프론트 구하자,1
우리도 프론트 개발자 한분 모십니다를 하자,1
글 하나 올릴까?,1
연락오면 알려주기,1
수정했어,1
컴터 새로사,1
아 여기에 링크올려보고 모바일로 들어가봐야겠다,1
수시로 확인하기,1
강의 끝나면 시작한다,1
md먼저 작성해서 내야징,1
도메인 강의 요약하기,1
일단 베이식 마무리하고 온다,1
한번만 더올리고 1시까지 기다려볼까,1
1시반까지 연락 안오면 걍 내기,1
팀원 명단 제출하기,1
내일중에 톡방 만들께여,1
내일 팀확정되면 톡방 개설하겠습니다,1
코딩은 오후에 시작해도 연락은 받아라,1
공지사항에 있는 폼에 제출하기,1
제출했어요,1
오늘 3시에 강의있습니다,1
일단 들으러 달려간다,1
보안서약서도 미리 내세요,1
명세서따라 개인적으로 진행하겠습니다,1
주제정해야 합니다,1
밤에 명세서 따라 작성해보겠습니다,1
버전 맞춥시다,1
오후 미팅은 없습니다,1
필요 라이브러리 설치되면 알려주기,1
연동해야 합니다,1
폴더 주소로 바꾸기,1
명세서 내용으로 에픽 만들어둘 예정입니다,1
아이디어 생각해서 공유합시다,1
다운로드 받으신 분 있으면 알려주세요,1
데이터셋 불러오기,1
코드있나 확인하기,1
비밀번호 바꾸기,1
질문부터 해결하시죠,1
방금 오류 해결했습니다,1
오전에 조회하구 주제얘기좀 진행하시죠,1
금요일에 평가 진행합니다,1
안되면 내일 물어봅시다,1
주제 생각나면 공유해놓읍시다,1
다음주에 구체화합시다,1
점심먹고 만납시다,1
미팅 후 열어주실래요,1
오류를 찾아서 공유해주기,1
쉬다가 4시부터 하겠습니다,1
다시 해보겠습니다,1
내일 완벽하게 설명좀 부탁드립니다,1
다시 코드보면서 마무리 할게요,1
심화학습 진행할게요,1
1시 이후에 각자 확인해서 평가하는걸로 해요,1
저장하고 추가하고 쉬겠습니다,1
2시에 만나요,1
작업 마무리하고 오겠습니다,1
팀명이랑 부가 아이디어 생각해옵시다,1
목요일에 팀미팅 있습니다,1
다들 장비사진 올려주세요,1
주제 얘기 진행합시다,1
오늘 얘기만 해보아요,1
서비스 전체적으로 괜찮을거 같은걸로 생각해오겠습니다,1
페르소나를 선정해봅시다,1
내일 회의 없습니다 참고해주세요,1
프로젝트 세팅되면 알려주세요,1
담당 업무 알려주세요,1
상담 질문거리 준비해주세요,1
서비스명 정하고 세팅해주세요,1
오늘안에 서비스명 정해주세요,1
6시에 퇴실해주세요,1
네시부터 간간히 회의하면서 진행할게요,1
종례 끝나고 데이터좀 찾아볼게요,1
공동작업자 요청 부탁드립니다,1
사본 저장해서 공유해주세요,1
데이터 찾으면 공유부탁합니다,1
한번 정리해볼테니 다들 본 다음 확정해주세요,1
관련 툴 연동 부탁드립니다,1
일단 연동 해놓았습니다,1
회의하면서 얘기 더 하면서 수정해야합니다,1
다른 의견이 있으면 알려주세요,1
한시에 미팅 열겠습니다,1
새로운 방법을 찾고있습니다,1
디자인 만들고 공유하겠습니다,1
설명회 다들 참석해주세요,1
구조에 대해 공부하고 오겠습니다,1
메모장에 정리해서 한번에 보내주기,1
중요한거 얘기나오면 알려주세요,1
아래 항목중 결정된 것이 있다면 채워서 보내주세요,1
빠른 시일 내에  담당자를 정하겠습니다,1
라이센스 발급받겠습니다,1
회의록도 다 업로드 해주세요,1
데이터 찾아보기,1
기능 구체화하기,1
와이어프레임 작성하기,1
모델 찾아보기,1
발표 준비하기,1
알아서 2시에 모입시다,1
쉬었다가 모델 찾아보겠습니다,1
스토리라인 짜기,1
씻고 카페가기,1
아이디어 반영하기,1
프로젝트 진행하기,1
간단한 모델 공부하기,1
데이터 전처리하기,1
대신 들어가서 발표하기,1
서비스랑 세부기능 구성 완료했습니다,1
학습용 데이터 모으고 있습니다,1
역할 분담 상세히 하겠습니다,1
컨설턴트님한테 교육듣기,1
음성 저장 방법 알아두기,1
프로젝트 설정하기,1
프로젝트 빌드업하기,1
다이어그램 작성하기,1
포맷 따라 작성하기,1
세부적인 스토리 생기면 알아서 주제맞게 올리기,1
인공지능 모델 만들기,1
매주차에 피드백 만들기,1
이슈 수정하기,1
이슈 생성하기,1
설문조사 2개 있으니 시간 내로 꼭 완료해주세요,1
사진 만들었습니다,1
코딩 했습니다,1
인공지능 열심히 진행했습니다,1
알고리즘 구현해야합니다,1
게시판에 질문모읍시다,1
종례 후 간단하게 모입시다,1
우선 만들어주세요,1
일단 그럼 진행하겠습니다,1
피피티 내용정리 부탁합니다,1
멘토링 한줄 평 적어주세요,1
심플하게 작성 부탁해요,1
필요로할 소스들만 넣어놉시다,1
메인기능 넣어주세요,1
목차는 생략합니다,1
어떤 기술 사용할 지 연구했습니다,1
빨리 마무리하고 합류할게요,1
인증코드 처리했습니다,1
캡쳐해서 추가로 작성하겠습니다,1
소셜 로그인 기능 구현 완료했습니다,1
다운받아서 보낼게요,1
만날 카페 장소 찾아보고 있습니다,1
공인인증서 다운로드 받겠습니다,1
최신 버전 푸쉬했습니다,1
최신 버전 다운받았습니다,1
정리를 해서 보내겠습니다,1
우리 10월초부터 개발 시작해야해요.,1
디자이너 3시까지 섭외해주세요.,1
디자이너는 섭외해주세요.,1
사용할 데이터 3시까지 공유해주세요.,1
저희가 사용할 데이터 공유할게요.,1
기획안 준비해주세요.,1
오늘까지 기획안 준비해주세요.,1
기획 발표 있습니다.,1
오늘 기획 발표하는거 아시죠?,1
기획안 3시까지 공유해주세요.,1
기획안 공유부탁드려요.,1
로그인 기능 3시까지 완성해주세요.,1
로그인 완성해주세요.,1
로그인 3시까지 완성해주세요.,1
로그인 기능 완성해주세요.,1
에러 생긴거 3시까지 수정해주세요.,1
에러 생겼으니 수정해주세요.,1
에러 확인해주세요.,1
에러 발생한거 수정해주세요.,1
코드 리팩토링 3시까지 해주세요.,1
코드 리팩토링 해주세요.,1
와이어프레임 작성해주세요.,1
와이어프레임 오늘까지 해주세요.,1
모듈 추가는 3시까지 해주세요.,1
모듈 추가해주세요.,1
프론트 담당해주세요.,1
백엔드 담당해주세요.,1
프론트 개선 작업 3시까지 해주세요.,1
프론트 미디어쿼리 개선해주세요.,1
프론트 개선 작업해주세요.,1
서버 속도 3시까지 개선해주세요.,1
서버 속도 개선 부탁드립니다.,1
일정 추가 기능 구현해주세요.,1
일정 추가 기능 구현 오늘까지 해주세요.,1
일정 추가 기능 오늘까지 할게요.,1
PPT 3시까지 마무리해주세요.,1
프론트 메인색상 정해서 3시까지 공유해주세요.,1
프론트 메인색상 정한거 공유해주세요.,1
주석처리 해주세요.,1
3시까지 깃 푸시해주세요.,1
깃 푸시해주세요.,1
깃 머지 해주세요.,1
깃 머지 3시까지 해주세요.,1
브랜치 3시까지 정리해주세요.,1
브랜치 정리 해주세요.,1
브랜치 3시까지 삭제해주세요.,1
브랜치 삭제 좀 부탁할께요.,1
3시까지 버전확인해주세요.,1
버전확인부탁드려요.,1
버전 확인 3시까지 해주세요.,1
실행확인 3시까지 확인해주세요.,1
3시까지 실행 확인 해주세요.,1
실행확인 해주세요.,1
3시까지 익셉션 수정해주세요.,1
3시까지 익셉션 확인해주세요.,1
널포인트 익셉션 확인이요.,1
익셉션 3시까지 확인하세요.,1
익셉션 확인해주세요.,1
3시까지 백업해주세요.,1
백업 3시까지 해주세요.,1
백업해주세요.,1
커밋 푸시 잊지말아주세요.,1
3시에 머지할테니 마무리한거 푸시해주세요.,1
머지하겠습니다.,1
오타 3시까지 수정하세요.,1
3시까지 오타수정해주세요.,1
오타 수정해주세요.,1
권한 3시까지 확인해주세요.,1
3시까지 권한 확인해주세요.,1
권한주세요.,1
3시까지 경로 확인해주세요.,1
경로 3시까지 확인해주세요.,1
경로 확인 부탁드립니다.,1
로그 3시까지 확인해주세요.,1
3시까지 로그 확인해주세요.,1
로그 확인하세요.,1
3시까지 변수 네이밍 수정해주세요.,1
변수 네이밍 3시까지 확인해주세요.,1
변수 네이밍 바꿔주세요.,1
충돌 해결해주세요.,1
3시까지 충돌 해결해주세요.,1
충돌 3시까지 해결해주세요.,1
충돌 확인해주세요.,1
컨플릭트 3시까지 확인해주세요.,1
3시까지 컨플릭트 확인해주세요.,1
컨플릭트 확인해주세요.,1
충돌해결 오전까지 해주세요.,1
3시까지 보고서 보내주세요.,1
아이디어 3시까지 공유해주세요.,1
기획 아이디어 보고서로 공유해주세요.,1
아이디어 준비해온거 말해주세요.,1
기획팀 기획안 오전까지 준비해주세요.,1
프로토타입 공유해주세요.,1
프로토타입 3시까지 완성해주세요.,1
프로필 페이지 3시까지 완성해주세요.,1
프로필 페이지 오늘까지 만들게요.,1
PPT 업로드 3시까지 해주세요.,1
PPT 업로드해주세요.,1
컨벤션 파일 공유 3시까지 해주세요.,1
컨벤션 정리해주세요.,1
3시까지 명세서 분석해서 보고서 보내주세요.,1
오전에 명세서 분석할게요.,1
오늘까지 베타테스트 마무리해주세요.,1
서비스 로직 3시까지 변경해주세요.,1
서비스 로직 변경해주세요.,1
데이터베이스 3시까지 구축해주세요.,1
데이터베이스 구축할게요.,1
서비스 로직 3시까지 완성해주세요.,1
서버 배포 3시까지 해주세요.,1
서버 배포 안됐으면 3시까지 해주세요.,1
비즈니스 제휴 제안을 위한 컨텐츠 샘플 리스트 작성 3시까지 해주세요.,1
비즈니스 제휴 제안을 위한 컨텐츠 샘플 리스트 작성해주세요.,1
제휴 업로드 방식 토의하겠습니다.,1
제휴 업로드 방식 3시까지 회의하겠습니다.,1
김대리 다음주 해외 출장 일정 오전까지 부탁해요.,1
김대리 다음주 해외 출장 일정 정리부탁해요.,1
해외 출장 숙소랑 차량 확인해서 3시까지 정리해서 보내줘요.,1
해외 출장 숙소랑 차량 확인 부탁해요.,1
"출장 일정 정리해서 3시까지 이메일로 보내주세요.,",1
일정 정리해서 이메일로 보고해주세요.,1
1시에 회의 있으니 그 전에 미리 예약해주세요.,1
1시에 부장님이 회의 소집하셨으니 회의실 예약 미리 해주세요.,1
1시 회의 팀원들에게 미리 공지해주세요.,1
팀원들에게 회의 공지 미리 해주세요.,1
신제품 테스트 결과 보고서 보내주세요.,1
신제품 테스트 결과 보고서 오후까지 올려주세요.,1
50주년 행사 준비 기획안 3시까지 보내주세요.,1
민수씨 50주년 행사 준비 기획서 올려주세요.,1
초청자 명단이랑 주소 확인된 내용 3시까지 보내주세요.,1
초청장 샘플 3시까지 이메일로 보내주세요.,1
초청장 샘플 오늘까지 확인가능한가요?,1
초청장 오늘 안에 발송해주세요.,1
진행팀 기획안 정리해서 오늘 3시까지 보내주세요.,1
진행팀 정리된 기획안 오늘 오후까지 가능한가요?,1
진행팀 실내 행사장 알아보고 정리해서 기획안 보내주세요.,1
안드로이드 앱 내 기능 개발 3시까지 해주세요.,1
공통 모듈 및 프레임워크 개발 3시까지 부탁드립니다.,1
테스트 자동화가 가능하도록 아키텍쳐 설계 및 개선해주세요.,1
보안 및 성능 개선 3시까지 해주세요.,1
안드로이드 에이피아이 개발 3시까지 해주세요.,1
제품설치 및 트러블슈팅 3시까지 확인해주세요.,1
실시간 대용량 API까지 대규모 추천시스템 구축 관련 보고서 3시까지 이메일로 보내주세요.,1
추천로그 분석 3시까지 해주세요.,1
추천서비스 연관기능 기계학습 모델링 오늘 안에 마무리해주세요.,1
고객/가맹점 프로파일 데이터 구성 3시까지 확인해주세요.,1
머신러닝 모델링 오늘 오전까지 해주세요.,1
로그 데이터를 분석 오늘 오전까지 해주세요.,1
김대리 로그 데이터 분석 모델링 오늘까지 해주세요.,1
매칭 알고리즘 수정해서 3시까지 완료해주세요.,1
브랜드 전략 기획안 3시까지 이메일 전송해주세요.,1
마케팅 보고서 3시까지 완성해서 보내주세요.,1
제품별 데이터 분석해서 오전까지 이메일로 보내주세요.,1
데이터 추출 3시까지 해주세요.,1
데이터 전처리 오전까지 하세요.,1
데이터 전처리 오전까지 가능하죠?,1
자산관리 데이터 분석 시스템 모델링 오전까지 마무리 작업해주세요.,1
다변량 분석해서 오전까지 보고서로 보내주세요.,1
이알피 시스템 분석 오전까지 마무리하세요.,1
도메인 이슈 파악해서 개선작업 마무리해주세요.,1
프로세스 분석 컨설팅 내용 정리해서 이메일로 보내주세요.,1
분석 시스템 개발 3시까지 완료해주세요.,1
그래픽 작업 오늘 오전까지 해주세요.,1
그래픽 작업 3시까지 마무리되죠?,1
인프라 구축 오전까지 해주세요.,1
인프라 구축하는거 3시까지 마무리하세요.,1
에스디케이 개발 1시까지 마무리하세요.,1
오후 있을 회의에서 개발 전략 이야기 할테니 준비하세요.,1
오후 회의에서 브랜딩 관련해서 자료 준비하세요.,1
테스팅 결과 보고서 이메일로 전송해주세요.,1
테스팅 결과 보고서 3시까지 완성해서 보내주세요.,1
장주임 오전에 보낸 보고서 수정해서 다시 보내줘.,1
오늘 회의에서 발표할 자료 미리 보내줘요.,1
오늘 기획안 발표 PPT 미리 보내요.,1
이미지 첨부할때 얼럿뜨는 문제 해결해서 알려줘요.,1
이번주 마케팅 주제 관련해서 컨텐츠 소재 정리해서 보고서로 올려주세요.,1
컨텐츠 소재 3시까지 정리해서 보내주세요.,1
오늘까지 동영상 강의 만드는 자료 준비해주세요.,1
장대리 결재서류 처리해줘요.,1
트러블 슈팅 3시까지 해결해주세요.,1
트러블 슈팅 수정 작업 오늘까지 되죠?,1
고객 명세 정리해서 오늘까지 보내주세요.,1
고객 명세 오늘까지 정리할 수 있죠?,1
시스템 자동화 오늘 2시까지 하세요.,1
마이크로 서비스 아키텍처 구성해서 보고서로 올리세요.,1
활동 지원 업무 보고서 오전까지 보내세요.,1
업무 보고서 3시까지 정리해서 이메일로 보내세요.,1
디자인 팀이랑 회의할 내용 2시까지 준비해서 알려줘요.,1
오늘 1시에 세미나 있으니 다들 참석하세요.,1
오늘 회의 발표안 준비된 거 확인하고 최종 수정해서 보내세요.,1
오늘 발표 PPT 정리해서 이메일로 전송해주세요.,1
데이터 파이프 라인 구축 오늘 2시까지 마무리해요.,1
웹 프론트 개선 작업 오늘 오전까지 마무리하세요.,1
기획팀이랑 협의해서 요구사항 분석하고 보고서로 올리세요.,1
대시보드 설계한거 오늘까지 정리가능하죠?,1
네트워크 보안 확인하고 설정 마무리해주세요.,1
오픈 소스 정리해서 보고서로 올리세요.,1
오픈 소스 분석한 자료 2시까지 보내주세요.,1
알고리즘 개선 작업해서 알려주세요.,1
쿼리 개선 2시까지 해주세요.,1
쿼리 개선 작업 오전까지 마무리 할 수 있죠?,1
기획 배경에서 커피 수요 증가는 빼도될듯 ,1
서비스가 정상적으로 작동하면 장땡,1
서비스 특징에서는 핵심 기능에서 키워드만 보여주고 설명하기,1
사용자들은 딱히 데이터를 어떻게 했고 궁금하지 않다 ,1
기술스택은 따로 설명할 필요는 없어보인다,1
기술을 따로 넣지말자 프로젝트에 대해서 좀더 설명하자,1
프로젝트에 대한 기술을 소개하기 보다는 서비스를 좀 더 잘 소개하는게 좋다,1
ppt에 자료가 너무 많다,1
그래프는 ppt 하나에 하나만 넣는게 좋을것 같다,1
기획배경 일반 개인 카페 예시를 직접 보여주면 좋다 ,1
키워드로 보여주는게 더 효과적 ,1
데이터전처리 빼기 유저들은 궁금해하지 않는다,1
텍스트보단 동적인 무언가를 보여주는게 좋다,1
컨셉과 방향성 정해야함,1
AR 컨셉으로 가는건 어떨까,1
키워드 분류 합시다,1
발표자 정해야 합니다.,1
오류 해결,1
버그문제,1
검색 결과 처리,1
페이지 그대로 할 것인가,1
모르는 사람이 홈페이지 들어갔을 때 무엇을 하는 홈페이지인지 잘 와닿지 않는다,1
이 부분을 좀 해결해야 할 것 같다,1
카페 추천하는 곳이다!! 뽷!! 이느낌,1
지금 보니 큰 폰트인게 일부러 그러신거 같기도 해요 ,1
테스트케이스,1
비밀번호 대소문자 포함?,1
사진 없어도 글 작성 가능?,1
팔로우 언팔로우 버튼 반대로 보여짐,1
리뷰 키워드 찾아보기,1
이미지 url 만들기,1
"프론트 follow, comment 구현",1
token 이슈 해결 안된 부분 수요일 오전 미팅때 같이 해결,1
설문 부분(문항은 일단 빼고 형식 만들어 두기),1
NLP 키워드 분석 ,1
키워드 추출,1
해시태그 추출,1
감정분석,1
디자인의 감성적인 부분이 더 필요,1
더미 이미지 교체,1
더미 사진을 여러 장 넣어두고 랜덤으로 보여주게 해야함,1
사람들이 홈페이지에 들어와서 어느정도 해볼 수 있또록 하게 해야 함,1
모바일 기반 서비스임을 알려줄 것,1
반응형 보여주기,1
서비스 기획 의도 명확하게,1
jira 남은 이슈,1
기획 단계는 어떤지,1
하고자 하는게 무엇인지,1
우리만의 서비스 차별점 강조할 것,1
시간 잘 맞춰 개발하기,1
데드라인 유의,1
시간이 촉박하다,1
생각보다 시간이 많이 모자라다,1
UI경우 전체 페이지의 통일성이 있어야 함,1
같은 서비스 플랫폼이라는 느낌이 들어야 함,1
금주 목요일까지 완료해주세요,1
차주 월요일날 중간발표 있습니다,1
차주 수요일 고객사 방문 일정 확인 후 공유해주세요,1
팀장님께 보고바랍니다,1
확정되면 팀에 공유해주세요,1
프론트와 백 연결하기,1
gitlab에서 default branch를 바꿀 수 있는데 참고바람,1
오전 중 마무리 후 디비 서버에 연결,1
포스트 ui 마무리,1
마이페이지 마무리,1
에자일스럽지 못하다,1
담당자 배분잘해서 설정하기,1
로컬 이미지 저장,1
api 이미지 이용하기,1
유저 이메일 프론트에서는 회원가입과 로그인 시 이메일 형식인지 확인하는 로직 필요,1
유저 이메일 백에서는 이메일 중복 혹은 잘못된 값 등 다른 에러 메시지 확인 필요,1
프론트팀 로그인과 회원가입 모달 구현,1
어제 피드백 반영,1
피드백 부탁드립니다,1
팀장 회의 안건,1
서버를 여러대 돌려도 된다,1
메인 기능을 먼저 완료하라,1
도커 서버 환경 설정,1
오늘까지 프론트와 백엔드 환경 설정 완료하기,1
뽑아낸 키워드를 그룹화하여 분류 후 보여주기,1
"폰트, theme 컬러 선정",1
메인 목록 기능,1
해당 영역 강조,1
스크롤 올릴때만 보이게,1
follow CRUD 백엔드 구현,1
menu CRUD 백엔드 구현,1
프로젝트 합쳐서 gitlab에 올리기,1
디비 수정 필요한 부분 정리하기,1
담당자 할당하기,1
서버 통신 틈틈히 확인하면서 오류 수정할 것,1
이번주 내로 서버 테스트 해보기,1
도커 디비 백 각각 해도 좋을 듯,1
워드크라우드 제공으로 유저 스스로 판단도 가능,1
ui/ux 로그인 회원가입 세부 디자인 수정 필요,1
로그인 회원가입 백엔드 구현,1
토큰의 구조 리프레시 토큰,1
회원정보 가지고 있을 때 세션과 로컬 스토리지 중 어디에 저장할 지,1
토큰 세션과 쿠키 중 어디에 저장할 지,1
장단점 찾아보고 고민해보기,1
각자 구글링해보기,1
관련 부서에 연락하기,1
소셜 로그인 기능 추가,1
서비스의 특성 고려해서 할 수도 있어요,1
버튼이 눌리지 않는데 눌리는 것으로 인식,1
무한루프 도는 것 확인 후 수정 필요,1
메뉴 있는 것만 뽑아서 따로 저장,1
서비스 목적 회의 필요,1
핵심서비스에 대한 한마디로 정의하기,1
스켈레톤 프로젝트 개인 작업 환경설정,1
생각하는 메인 기능이 무엇인지 확실이 정합시다,1
데이터 정제,1
와이어프레임,1
DB 설계,1
데이터 수정해서 올려주세요,1
내일 입찰있어서 부산 티켓 좀 알아봐주세요,1
시공끝나면 바로 보고해주세요,1
커밋 컨벤션 확인해주세요,1
견적서 작성하는거 진행해주세요,1
왼쪽 메뉴바 개발 진행해주세요,1
동영상 편집 완성본 공유해주세요,1
동영상 편집 완료되면 올려주세요,1
고객 정보는 암호화해서 저장해 주세요.,1
오늘 상담 있으신 분들 2층으로 와주세요,1
어떤 폰트 사용할지 정해서 공유해주세요,1
글자크기 조금 더 키워주세요,1
ucc 제작해주세요,1
팀평가는 오늘까지 완료해주세요,1
구글 차트 사용해서 프로젝트 완료해주세요,1
코드 백업 진행해주세요,1
전체삭제 기능 추가해주세요,1
일부 선택만 가능하게 진행해주세요,1
댓글 작성 기능 진행해주세요,1
버그 확인하고 수정부탁드립니다,1
카테고리 배너 제작 내일까지 완료하세요,1
회원 이미지 저장 이번주안으로 완성해주세요,1
디벨롭에 검색페이지 수정한거 MR 날린거 확인해주세요,1
오늘까지 톰캣 설치 완료해주세요,1
기존 백엔드 서버 올려주세요,1
BoardSearchList.vue 이어서 진행해주세요,1
axios 요청할때 resapi 공유문서 확인해주세요,1
타겟 고객 정확하게 설정해서 보고서 올려놔,1
응급수술이 있을 수 있으니 물품 준비해주세요,1
타 기업 마케팅 기획 분석해주세요,1
지정된 날짜에 제안서 작성해서 주세요,1
행사 날짜에 맞춰서 셋팅해 주세요,1
제안서 올려주세요,1
제안서 공유해주세요,1
행사 날짜에 맞춰서 셋팅 완료해주세요,1
최종보고서 수정해서 올려주세요,1
최종보고서 공유해주세요,1
네이버 연동쿠폰 제외 부탁드려요,1
네이버 연동쿠폰 제외해서 진행해주세요,1
가격비교 신청제외 해서 행사 진행해주세요,1
가격비교 신청 제외해서 행사 진행 부탁드립니다,1
외근있으신 분들 카톡에 보고해주세요,1
업체 추석연휴로 인한 배송업무 불가 지정해주세요,1
지원 사업 관심 있으신 분은 카톡으로 지금 연락주세요,1
